"COD_IBGE";"MUNICIPIO";"CNPJ"
"3300100";"ANGRA DOS REIS";"29172467000109"
"3300159";"APERIBE";"36288900000123"
"3300209";"ARARUAMA";"28531762000133"
"3300225";"AREAL";"39554605000160"
"3300233";"ARMACAO DE BUZIOS";"01616171000102"
"3300308";"BARRA DO PIRAI";"28576080000147"
"3300407";"BARRA MANSA";"28695658000184"
"3300456";"BELFORD ROXO";"39485438000142"
"3300506";"BOM JARDIM";"28561041000176"
"3300704";"CABO FRIO";"28549483000105"
"3300803";"CACHOEIRAS DE MACACU";"29128766000138"
"3300902";"CAMBUCI";"29111085000167"
"3301009";"CAMPOS DOS GOYTACAZES";"29116894000161"
"3301108";"CANTAGALO";"28645794000160"
"3301157";"CARDOSO MOREIRA";"39228739000190"
"3301207";"CARMO";"29128741000134"
"3301306";"CASIMIRO DE ABREU";"29115458000178"
"3301405";"CONCEICAO DE MACABU";"29115466000114"
"3301504";"CORDEIRO";"28614865000167"
"3301603";"DUAS BARRAS";"28564177000130"
"3301702";"DUQUE DE CAXIAS";"29138328000150"
"3301876";"IGUABA GRANDE";"01615882000162"
"3301900";"ITABORAI";"28741080000155"
"3302007";"ITAGUAI";"29138302000102"
"3302056";"ITALVA";"30417158000122"
"3302106";"ITAOCARA";"28615557000156"
"3302205";"ITAPERUNA";"28916716000152"
"3302254";"ITATIAIA";"31846892000170"
"3302270";"JAPERI";"39485396000140"
"3302304";"LAJE DO MURIAE";"28919637000103"
"3302403";"MACAE";"29115474000160"
"3302502";"MAGE";"29138351000145"
"3302601";"MANGARATIBA";"29138310000159"
"3302700";"MARICA";"29131075000193"
"3302809";"MENDES";"28580694000100"
"3302858";"MESQUITA";"04132090000125"
"3302908";"MIGUEL PEREIRA";"32415283000129"
"3303005";"MIRACEMA";"29114121000146"
"3303104";"NATIVIDADE";"28920304000196"
"3303203";"NILOPOLIS";"29138286000158"
"3303302";"NITEROI";"28521748000159"
"3303401";"NOVA FRIBURGO";"28606630000123"
"3303500";"NOVA IGUACU";"29138278000101"
"3303708";"PARAIBA DO SUL";"29138385000130"
"3303856";"PATY DO ALFERES";"31844889000117"
"3303906";"PETROPOLIS";"29138344000143"
"3303955";"PINHEIRAL";"01612981000190"
"3304003";"PIRAI";"29141322000132"
"3304102";"PORCIUNCULA";"28920999000106"
"3304128";"QUATIS";"39560008000148"
"3304144";"QUEIMADOS";"39485412000102"
"3304201";"RESENDE";"29178233000160"
"3304300";"RIO BONITO";"28741072000109"
"3304409";"RIO CLARO";"29051216000168"
"3304524";"RIO DAS OSTRAS";"39223581000166"
"3304706";"SANTO ANTONIO DE PADUA";"29114139000148"
"3304805";"SAO FIDELIS";"29111093000103"
"3304904";"SAO GONCALO";"28636579000100"
"3305109";"SAO JOAO DE MERITI";"29138336000105"
"3305133";"SAO JOSE DE UBA";"01614414000173"
"3305208";"SAO PEDRO DA ALDEIA";"28909604000174"
"3305307";"SAO SEBASTIAO DO ALTO";"28645786000113"
"3305406";"SAPUCAIA";"29138393000186"
"3305505";"SAQUAREMA";"32147670000121"
"3305554";"SEROPEDICA";"01604139000107"
"3305604";"SILVA JARDIM";"28741098000238"
"3305703";"SUMIDOURO";"32165706000108"
"3305802";"TERESOPOLIS";"29138369000147"
"3305901";"TRAJANO DE MORAIS";"29115441000110"
"3306107";"VALENCA";"29076130000190"
"3306156";"VARRE-SAI";"39217831000155"
"3306206";"VASSOURAS";"32412819000152"
"3306305";"VOLTA REDONDA";"32512501000143"
